Estado,latitude,longitude,Fotoclubes_Estado
SP,-23.960833,-46.333889,SP
RJ,-22.9110137,-43.2093727,RJ
SP,-23.6573395,-46.5322504,
SP,-23.6573395,-46.5322504,
SP,-23.6195923,-46.5688323,
SP,-23.6195923,-46.5688323,
MG,-19.9227318,-43.9450948,
SP,-23.5506507,-46.6333824,
SP,-22.70111,-46.76444,
RJ,-22.9110137,-43.2093727,RJ
RJ,-22.9110137,-43.2093727,
SP,-23.6573395,-46.5322504,
SP,-23.6195923,-46.5688323,
RJ,-22.8832371,-43.1154552,
RJ,-22.3712958,-41.7866922,
SP,-23.6573395,-46.5322504,
SC,-27.2312011,-52.0231024,
SP,-23.7080345,-46.5506747,
PR,-23.3112878,-51.1595023,PR
SP,-21.5404913,-49.8574709,
SP,-23.5506507,-46.6333824,
RJ,-22.8832371,-43.1154552,RJ
SP,-23.6195923,-46.5688323,
SP,-23.1887668,-46.884506,
RJ,-22.0287681,-42.3607442,RJ
SP,-23.5506507,-46.6333824,
SP,-23.7080345,-46.5506747,
SP,-23.6573395,-46.5322504,
RJ,-22.9110137,-43.2093727,
RJ,-22.9110137,-43.2093727,
RJ,-22.9110137,-43.2093727,RJ
SP,-23.6195923,-46.5688323,SP
AM,-3.1316333,-59.9825041,
PR,-23.3112878,-51.1595023,PR
RJ,-22.9110137,-43.2093727,RJ
SP,-23.5506507,-46.6333824,
RJ,-22.9110137,-43.2093727,
RS,-30.0324999,-51.2303767,
SP,-23.7080345,-46.5506747,
MG,-18.9188041,-48.2767837,
DF,-10.3333333,-53.2,
SP,-23.1860383,-45.8866816,
MG,-20.6971953,-44.8273969,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
AM,-3.3795798,-57.7196072,
AM,-3.1316333,-59.9825041,
SP,-23.5506507,-46.6333824,
AM,-3.1316333,-59.9825041,
AM,-3.1316333,-59.9825041,
MG,-21.1335755,-44.2588086,
BA,-12.9822499,-38.4812772,
AM,-3.1316333,-59.9825041,
RN,-5.805398,-35.2080905,
PR,-23.3112878,-51.1595023,PR
SP,-23.2638828,-47.298892,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
SP,-23.6573395,-46.5322504,
SP,-22.9520235,-46.5418586,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
RJ,-22.9110137,-43.2093727,
SP,-23.5112184,-46.8764612,SP
SP,-23.6573395,-46.5322504,
GO,-16.680882,-49.2532691,SP
RJ,-22.9110137,-43.2093727,
RN,-5.9153334,-35.2679913,
RN,-5.805398,-35.2080905,
RJ,-22.8219014,-43.0309252,
AM,-3.1316333,-59.9825041,
RN,-6.0902674,-35.2085026,
BA,-12.89242,-38.3127691,
PR,-25.3133048,-49.2997838,
RS,-30.0324999,-51.2303767,RS
RS,-30.0324999,-51.2303767,RS
SP,-23.5506507,-46.6333824,RJ
SP,-23.5506507,-46.6333824,
SP,-23.6195923,-46.5688323,SP
SP,-23.9603686,-46.3847024,SP
BA,-12.9822499,-38.4812772,BA
SP,-23.6573395,-46.5322504,
SE,-10.9162061,-37.0774655,
SE,-10.9162061,-37.0774655,
SC,-26.4897432,-49.0778063,
RJ,-22.2800004,-42.5325303,RJ
SP,-22.0180395,-47.891154,
RJ,-22.8832371,-43.1154552,SP
RJ,-22.9110137,-43.2093727,
RJ,-22.8219014,-43.0309252,
PR,-23.3485076,-52.0966215,
SP,-22.8742567,-49.1593923,
SP,-23.09028,-47.21806,
PR,-25.8737269,-49.4977717,
SP,-23.6195923,-46.5688323,SP
SP,-20.8125851,-49.3804212,PR
BA,-12.2578934,-38.9598047,SP
BA,-12.2578934,-38.9598047,SP
BA,-12.2578934,-38.9598047,SP
BA,-12.2578934,-38.9598047,SP
SP,-20.8125851,-49.3804212,SP
RS,-29.1684951,-51.1796197,RS
SP,-23.8857982,-46.4241869,
RN,-5.805398,-35.2080905,
SP,-23.6573395,-46.5322504,
SP,-20.8125851,-49.3804212,SP
SP,-20.8125851,-49.3804212,SP
SP,-20.8125851,-49.3804212,SP
SP,-20.8125851,-49.3804212,SP
SP,-23.960833,-46.333889,
SP,-23.5506507,-46.6333824,
RJ,-22.8832371,-43.1154552,
SP,-23.5506507,-46.6333824,
SP,-23.6548363,-47.2210116,
SP,-23.6548363,-47.2210116,
BA,-12.6998188,-38.3260762,BA
BA,-14.8567487,-40.8414804,
RJ,-22.9110137,-43.2093727,
MG,-19.9227318,-43.9450948,
PA,-1.45056,-48.4682453,
SP,-23.960833,-46.333889,
SP,-22.0180395,-47.891154,
SP,-22.1225167,-51.3882528,
SP,-23.6195923,-46.5688323,SP
DF,-10.3333333,-53.2,SP
PR,-25.4295963,-49.2712724,
PR,-25.4295963,-49.2712724,
RJ,-22.9110137,-43.2093727,
PI,-2.9147515,-41.7661953,
SP,-23.6548363,-47.2210116,
SP,-23.5506507,-46.6333824,SP
PR,-23.3112878,-51.1595023,
PR,-23.3112878,-51.1595023,
SP,-23.960833,-46.333889,
PA,-1.374035,-48.4016623,
AM,-3.1316333,-59.9825041,
SP,-23.5506507,-46.6333824,
SP,-23.6573395,-46.5322504,
DF,-15.6808898,-48.1942621,
SP,-21.178333,-47.8066671,SP
SP,-23.6573395,-46.5322504,
SP,-23.960833,-46.333889,
SP,-23.3644621,-46.7484765,
PR,-25.4295963,-49.2712724,PR
SP,-23.681347,-46.62052,
SP,-23.1860383,-45.8866816,SP
SP,-23.5506507,-46.6333824,
SP,-21.7886713,-48.1773096,SP
PA,-1.2927031,-47.9223903,
SP,-23.6573395,-46.5322504,
SP,-22.783186,-47.294059,SP
SP,-22.1859721,-47.389764,SP
SP,-23.5506507,-46.6333824,
SP,-23.6573395,-46.5322504,SP
RJ,-22.0287681,-42.3607442,RJ
SP,-23.5506507,-46.6333824,
SP,-23.960833,-46.333889,
SP,-23.6195923,-46.5688323,
SP,-23.6573395,-46.5322504,
BA,-12.9822499,-38.4812772,BA
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
RJ,-22.9110137,-43.2093727,RJ
RJ,-22.2461028,-43.6996917,
SP,-21.7886713,-48.1773096,SP
RS,-30.0324999,-51.2303767,RS
PR,-23.3112878,-51.1595023,PR
SP,-23.6195923,-46.5688323,
SP,-23.09028,-47.21806,
SP,-23.7080345,-46.5506747,
MG,-21.7609533,-43.3501129,
SP,-23.960833,-46.333889,SP
RS,-30.0324999,-51.2303767,RS
PR,-23.3112878,-51.1595023,PR
ES,-20.3200917,-40.3376682,
SP,-23.743724,-46.397084,
SP,-23.6195923,-46.5688323,SP
SP,-23.4430602,-46.524459,
SP,-23.5506507,-46.6333824,
PR,-23.3112878,-51.1595023,PR
SP,-23.09028,-47.21806,
SP,-23.09028,-47.21806,
SP,-23.09028,-47.21806,
SP,-23.09028,-47.21806,
SP,-23.4430602,-46.524459,
SP,-23.5506507,-46.6333824,
MG,-19.9227318,-43.9450948,
SP,-23.54888,-46.933889,
DF,-10.3333333,-53.2,
DF,-10.3333333,-53.2,
MG,-19.954001,-44.3407921,
GO,-16.680882,-49.2532691,
SP,-22.90556,-47.06083,
SP,-22.90556,-47.06083,
SP,-22.90556,-47.06083,
SP,-22.90556,-47.06083,
SP,-22.90556,-47.06083,
SP,-22.90556,-47.06083,
SP,-22.90556,-47.06083,
SP,-22.90556,-47.06083,
SP,-22.90556,-47.06083,
SP,-22.90556,-47.06083,
SP,-22.90556,-47.06083,
SP,-22.90556,-47.06083,
RJ,-22.9110137,-43.2093727,SP
SE,-10.6856197,-37.4270517,
RJ,-22.9110137,-43.2093727,
RJ,-22.9110137,-43.2093727,
SP,-23.7080345,-46.5506747,
SP,-21.7886713,-48.1773096,
TO,-10.1835604,-48.3337793,
SP,-23.5506507,-46.6333824,
SP,-23.7080345,-46.5506747,SP
MG,-21.7609533,-43.3501129,
SP,-23.54888,-46.933889,
SP,-23.7080345,-46.5506747,
BA,-12.9822499,-38.4812772,SP
MG,-19.9227318,-43.9450948,
RJ,-22.7667284,-43.4033603,
PR,-23.3112878,-51.1595023,PR
SP,-23.5506507,-46.6333824,
RS,-29.1684951,-51.1796197,RS
BA,-12.9822499,-38.4812772,
PA,-1.45056,-48.4682453,
SP,-23.5506507,-46.6333824,
SP,-22.3569477,-47.3838889,SP
SP,-23.5506507,-46.6333824,SP
RS,-30.0324999,-51.2303767,
SP,-23.541056,-46.37097,
SP,-23.7080345,-46.5506747,SP
PE,-8.0584933,-34.8848193,SP
RJ,-22.8832371,-43.1154552,DF
SP,-23.5506507,-46.6333824,SP
RJ,-22.8219014,-43.0309252,
CE,-3.7304512,-38.5217989,
CE,-3.7304512,-38.5217989,
RN,-5.805398,-35.2080905,SP
SP,-23.6573395,-46.5322504,
SP,-23.6573395,-46.5322504,
SP,-23.5506507,-46.6333824,
CE,-3.7304512,-38.5217989,
RJ,-22.9110137,-43.2093727,RJ
TO,-12.7887924,-46.5073198,
CE,-3.7304512,-38.5217989,SP
RJ,-22.9110137,-43.2093727,
RS,-29.975269,-50.128068,
SP,-22.90556,-47.06083,SP
SP,-22.293585,-48.559193,SP
RJ,-22.9110137,-43.2093727,
SP,-23.5506507,-46.6333824,
CE,-3.7304512,-38.5217989,
SP,-23.6573395,-46.5322504,
SP,-23.6573395,-46.5322504,
SP,-23.6573395,-46.5322504,
RJ,-22.5075743,-43.1785356,
SP,-23.5506507,-46.6333824,
RJ,-22.9110137,-43.2093727,RJ
SP,-23.5506507,-46.6333824,
BA,-12.9822499,-38.4812772,
SP,-23.9603686,-46.3847024,
MG,-21.7609533,-43.3501129,
MG,-21.7609533,-43.3501129,
SP,-23.7080345,-46.5506747,
RJ,-22.0287681,-42.3607442,RJ
SP,-23.6195923,-46.5688323,SP
SP,-23.6573395,-46.5322504,
RJ,-22.8832371,-43.1154552,
SC,-27.5973002,-48.5496098,SP
SP,-23.9603686,-46.3847024,
SP,-23.6573395,-46.5322504,
MG,-21.7609533,-43.3501129,
SP,-23.6195923,-46.5688323,
SP,-23.7080345,-46.5506747,
SP,-23.5506507,-46.6333824,
SP,-22.414562,-49.408355,
SP,-23.6573395,-46.5322504,
SP,-23.6573395,-46.5322504,
SP,-23.7080345,-46.5506747,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
SP,-22.0180395,-47.891154,
SP,-21.7886713,-48.1773096,SP
MG,-22.441976,-46.3517971,SP
RN,-5.805398,-35.2080905,
SP,-23.5506507,-46.6333824,
RS,-29.1684951,-51.1796197,RS
SP,-22.681861,-46.6798783,SP
SP,-21.178333,-47.8066671,SP
SP,-23.5506507,-46.6333824,
AM,-3.1316333,-59.9825041,
SP,-21.178333,-47.8066671,SP
PA,-1.45056,-48.4682453,
MS,-20.4640173,-54.6162947,
SP,-22.70111,-46.76444,SP
SP,-21.178333,-47.8066671,SP
SP,-23.5506507,-46.6333824,
SP,-23.6195923,-46.5688323,
PE,-7.747664,-34.830319,
SP,-23.6573395,-46.5322504,
TO,-10.1835604,-48.3337793,
MG,-19.7613111,-44.3145945,
ES,-20.3297037,-40.2920174,
SP,-23.5506507,-46.6333824,SP
SP,-20.8125851,-49.3804212,SP
RS,-29.1684951,-51.1796197,RS
RS,-30.0324999,-51.2303767,RS
RS,-30.0324999,-51.2303767,RS
PA,-1.45056,-48.4682453,
MG,-22.8549109,-46.3190079,
SP,-23.5506507,-46.6333824,
GO,-14.1304779,-47.5100161,
RJ,-22.1636384,-43.2916915,
RJ,-22.8832371,-43.1154552,
RJ,-22.9110137,-43.2093727,RJ
SP,-23.7080345,-46.5506747,
SP,-23.5506507,-46.6333824,
BA,-12.6998188,-38.3260762,BA
SP,-21.178333,-47.8066671,SP
SP,-23.4430602,-46.524459,
SP,-23.6573395,-46.5322504,
PA,-1.374035,-48.4016623,
BA,-12.9822499,-38.4812772,
RJ,-22.9110137,-43.2093727,
SP,-23.6195923,-46.5688323,
SP,-23.6195923,-46.5688323,
MG,-20.3851692,-43.5036344,MG
SP,-23.5506507,-46.6333824,SP
BA,-12.9822499,-38.4812772,BA
DF,-20.4290496,-47.8250067,SP
SP,-23.6573395,-46.5322504,
SP,-23.6195923,-46.5688323,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
SP,-21.178333,-47.8066671,SP
PB,-7.1215981,-34.882028,
SP,-23.5506507,-46.6333824,
GO,-16.680882,-49.2532691,
SP,-23.6573395,-46.5322504,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
MT,-15.5986686,-56.0991301,
BA,-12.9822499,-38.4812772,
SP,-23.6573395,-46.5322504,
AM,-3.1316333,-59.9825041,AM
SP,-23.5506507,-46.6333824,
SP,-23.8027866,-45.4070527,
SP,-23.8027866,-45.4070527,
SP,-23.599338,-47.022038,
SP,-22.293585,-48.559193,
RS,-30.0324999,-51.2303767,
SP,-23.6195923,-46.5688323,SP
SP,-22.3218102,-49.0705863,
GO,-16.680882,-49.2532691,
SP,-23.5506507,-46.6333824,
BA,-12.2578934,-38.9598047,BA
RJ,-22.9110137,-43.2093727,
RJ,-22.9110137,-43.2093727,
SP,-23.6573395,-46.5322504,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,SP
SP,-23.6195923,-46.5688323,SP
RS,-29.1684951,-51.1796197,
SP,-23.5506507,-46.6333824,
RN,-6.0746867,-35.2370184,
SP,-23.6573395,-46.5322504,
SP,-23.5506507,-46.6333824,
SP,-23.6573395,-46.5322504,
SP,-23.5506507,-46.6333824,
SP,-23.6195923,-46.5688323,SP
RJ,-22.9110137,-43.2093727,
PB,-7.1215981,-34.882028,
SP,-23.5506507,-46.6333824,
MG,-18.8539497,-41.9458753,
MG,-18.8539497,-41.9458753,
SP,-23.5506507,-46.6333824,
SP,-23.7080345,-46.5506747,GO
BA,-12.9822499,-38.4812772,BA
BA,-12.9822499,-38.4812772,BA
RS,-29.9493353,-51.0898927,RS
RS,-29.1684951,-51.1796197,RS
PB,-7.1215981,-34.882028,
RS,-29.975269,-50.128068,
SP,-23.7080345,-46.5506747,
PB,-7.1215981,-34.882028,
SP,-23.5506507,-46.6333824,
SP,-20.8125851,-49.3804212,SP
RJ,-22.9110137,-43.2093727,
SP,-23.5506507,-46.6333824,
RO,-11.9296917,-61.9961284,
SP,-23.5506507,-46.6333824,
RS,-30.0324999,-51.2303767,RS
SP,-23.5506507,-46.6333824,SP
SP,-23.6573395,-46.5322504,
SP,-23.960833,-46.333889,
SC,-26.9195567,-49.0658025,SC
SP,-23.5506507,-46.6333824,SP
PR,-23.3112878,-51.1595023,PR
SP,-23.5506507,-46.6333824,SP
SP,-23.5506507,-46.6333824,
CE,-3.7304512,-38.5217989,
SP,-23.5506507,-46.6333824,
RJ,-23.2196461,-44.7154196,
MA,-2.5634605,-44.2448718,
SP,-23.6573395,-46.5322504,
SE,-10.9162061,-37.0774655,
SE,-11.2682255,-37.4378341,
DF,-10.3333333,-53.2,
SP,-23.5506507,-46.6333824,
CE,-3.7304512,-38.5217989,
MS,-22.2206145,-54.812208,
PR,-24.9554996,-53.4560544,
SP,-23.6195923,-46.5688323,SP
SP,-22.90556,-47.06083,SP
SP,-23.5506507,-46.6333824,
SP,-23.6573395,-46.5322504,
SP,-20.8125851,-49.3804212,SP
SP,-23.1177393,-46.5547861,
SP,-23.5506507,-46.6333824,
RJ,-22.9110137,-43.2093727,
SP,-20.8125851,-49.3804212,SP
SP,-23.5506507,-46.6333824,
SP,-21.178333,-47.8066671,SP
SP,-21.178333,-47.8066671,SP
SP,-22.681861,-46.6798783,SP
SP,-23.5506507,-46.6333824,
RS,-30.0324999,-51.2303767,RS
SP,-22.70111,-46.76444,SP
SP,-23.6573395,-46.5322504,
SP,-23.5506507,-46.6333824,SP
SP,-23.5506507,-46.6333824,SP
SP,-22.293585,-48.559193,
SP,-23.5506507,-46.6333824,
PA,-1.45056,-48.4682453,
SP,-23.5506507,-46.6333824,
SP,-20.8125851,-49.3804212,SP
SP,-23.5506507,-46.6333824,
SP,-23.433162,-45.083415,
SP,-21.178333,-47.8066671,SP
SP,-21.178333,-47.8066671,SP
SP,-22.61222,-46.70056,SP
AM,-3.1316333,-59.9825041,AM
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,SP
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
PB,-7.1215981,-34.882028,
SP,-23.7080345,-46.5506747,
SP,-23.1531055,-47.0580347,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
SP,-22.4136363,-49.1351479,SP
SP,-23.5506507,-46.6333824,
SP,-23.4446715,-46.9167722,
RS,-30.0324999,-51.2303767,RS
PR,-23.3112878,-51.1595023,PR
SP,-22.217108,-49.95006,
SP,-23.5506507,-46.6333824,
SP,-23.7080345,-46.5506747,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
RS,-30.0324999,-51.2303767,RS
RS,-30.0324999,-51.2303767,RS
SP,-23.5506507,-46.6333824,SP
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
MG,-19.9227318,-43.9450948,
SP,-23.4430602,-46.524459,
SP,-23.5506507,-46.6333824,SP
SP,-23.6195923,-46.5688323,
SP,-22.70111,-46.76444,SP
RS,-29.1684951,-51.1796197,RS
RS,-29.1684951,-51.1796197,RS
RS,-29.1684951,-51.1796197,RS
RS,-29.1684951,-51.1796197,RS
SP,-23.5506507,-46.6333824,
SP,-23.1860383,-45.8866816,
RS,-30.0324999,-51.2303767,RS
AM,-3.1316333,-59.9825041,
PR,-23.3112878,-51.1595023,PR
MG,-17.286102,-42.7312574,
BA,-12.9822499,-38.4812772,
ES,-20.6718755,-40.4984617,SP
DF,-10.3333333,-53.2,
SP,-23.5506507,-46.6333824,
SP,-23.30528,-45.96583,
SP,-21.178333,-47.8066671,SP
SP,-22.2294981,-50.8922333,PR
SP,-23.1860383,-45.8866816,SP
SP,-23.7080345,-46.5506747,
RS,-30.0324999,-51.2303767,RS
RS,-30.0324999,-51.2303767,
SP,-23.09028,-47.21806,SP
RR,2.8208478,-60.6719582,RR
SP,-22.72528,-47.64917,
SP,-20.8125851,-49.3804212,SP
RS,-29.1684951,-51.1796197,RS
SP,-22.90556,-47.06083,SP
RJ,-22.9110137,-43.2093727,
PR,-23.3112878,-51.1595023,PR
MT,-15.5986686,-56.0991301,
RS,-30.0324999,-51.2303767,RS
SP,-23.5506507,-46.6333824,
SP,-21.178333,-47.8066671,SP
PR,-23.3112878,-51.1595023,PR
SP,-23.5506507,-46.6333824,
SP,-22.70111,-46.76444,
SP,-23.5506507,-46.6333824,
SP,-21.178333,-47.8066671,SP
SP,-23.5506507,-46.6333824,
SP,-22.90556,-47.06083,SP
SP,-21.178333,-47.8066671,SP
PA,-0.1535664,-50.3879223,
PA,-0.1535664,-50.3879223,
PA,-0.1535664,-50.3879223,
PA,-0.1535664,-50.3879223,
SP,-23.5506507,-46.6333824,
SP,-23.5506507,-46.6333824,
RS,-29.7544405,-51.1516497,
SP,-21.178333,-47.8066671,SP
SP,-21.178333,-47.8066671,SP
SP,-21.178333,-47.8066671,SP
SP,-24.1848847,-46.7921572,
SP,-22.72528,-47.64917,
SP,-22.70111,-46.76444,SP
SP,-23.7080345,-46.5506747,
RS,-30.0324999,-51.2303767,
MA,-2.5634605,-44.2448718,MA
RJ,-22.9110137,-43.2093727,
SP,-22.70111,-46.76444,SP
SP,-23.6195923,-46.5688323,
SP,-21.178333,-47.8066671,SP
SP,-23.6573395,-46.5322504,
DF,-10.3333333,-53.2,
SP,-23.5506507,-46.6333824,SP
SP,-23.031448,-45.5612792,
SP,-23.5506507,-46.6333824,SP
SP,-21.178333,-47.8066671,SP
SP,-23.1989983,-47.2913682,
PB,-7.1215981,-34.882028,
PB,-7.1215981,-34.882028,
RS,-30.0324999,-51.2303767,RS
SP,-23.6573395,-46.5322504,
SP,-21.178333,-47.8066671,SP
